logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano;year
rua caio pereira;375;apto 803 edf luar do rosarinho;505000,00;Encruzilhada;Recife;PE;2007;798,91;132,01;0,02698;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025;2025
rua caio pereira;375;apto 302 edf luar do rosarinho;398109,72;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-12;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025;2025
rua caio pereira;800;apto 1201 edf sainte juliana;790000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-14;Bom;Apartamento;0,00;13269;;;2025;2025
rua caio pereira;800;apto 1501 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;;;2025;2025
rua caio pereira;800;apto 1602 edf sainte juliana;840000,00;Encruzilhada;Recife;PE;2017;1295,39;145,8;0,01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;565600,32;13269;;;2025;2025
rua caio pereira;334;apto 202 edf essenza rosarinho;1000000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;0,00;13269;-8.035095;-34.896937;2025;2025
rua doutor jose maria;578;apto 0102 edf praia de ceres;595739,42;Encruzilhada;Recife;PE;2002;861,0;184,77;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;36196;-8.035868;-34.89625;2025;2025
rua doutor jose maria;658;apto 1701 edf casa rosada;600000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0,00;36196;-8.035419;-34.897024;2025;2025
rua andre reboucas;106;apto 302 edf bellagio residence;230000,00;Rosarinho;Recife;PE;2015;610,36;59,74;0,02165;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0,00;4928;-8.032817;-34.897594;2025;2025
rua engenheiro sampaio;68;apto 404 splendid rosarinho;300000,00;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-23;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025;2025
rua engenheiro sampaio;68;apto 105 splendid rosarinho;415000,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-24;Bom;Apartamento;288000,00;53627;-8.033695;-34.897214;2025;2025
rua engenheiro sampaio;68;apto 303 splendid rosarinho;77377,67;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025;2025
rua eng sampaio;110;apto 1002 edf villa aguinaldo jurema;761207,97;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-20;Bom;Apartamento;0,00;53627;;;2025;2025
rua andre reboucas;45;apto 502 edf david becker;1150000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2025;2025
rua andre reboucas;45;apto 502 edf david becker;1150000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-19;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2025;2025
rua andre reboucas;45;apto 2702 edf david becker;1498000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-06;Bom;Apartamento;445000,00;4928;-8.033397;-34.896962;2025;2025
rua engenheiro sampaio;59;apto 1601 edf gran parc premium-bloco b;860000,00;Rosarinho;Recife;PE;2015;2961,24;151,19;0,00735;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-20;Bom;Apartamento;530000,00;53627;-8.0341;-34.897511;2025;2025
av santos dumont;815;apto 2502 edf pedra do sitio das roseiras;640000,00;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;434000,00;53996;-8.034253;-34.897062;2025;2025
av santos dumont;815;apto 1202 edf pedra do sitio das roseiras;725000,00;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-23;Bom;Apartamento;0,00;53996;-8.034253;-34.897062;2025;2025
av santos dumont;815;apto 2501 edf pedra do sitio das roseiras;650000,00;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-27;Bom;Apartamento;400000,00;53996;-8.034253;-34.897062;2025;2025
rua caio pereira;275;apto 0202 edf artemis;608000,00;Rosarinho;Recife;PE;1999;1075,2;162,45;0,02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-31;Bom;Apartamento;242500,00;13269;-8.034534;-34.8972;2025;2025
rua caio pereira;275;apto 1002 edf artemis;610000,00;Rosarinho;Recife;PE;1999;1075,2;162,45;0,02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0,00;13269;-8.034534;-34.8972;2025;2025
rua caio pereira;175;apto 1402 edf maria esther;1000000,00;Rosarinho;Recife;PE;2009;1050,63;189,82;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;0,00;13269;-8.034401;-34.898153;2025;2025
av santos dumont;725;apto 2702 edf desb dirceu borges;1280000,00;Rosarinho;Recife;PE;2008;1918,49;200,45;0,01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-22;Bom;Apartamento;780000,00;53996;-8.034973;-34.897451;2025;2025
av santos dumont;725;apto 302 edf desb dirceu borges;1000000,00;Rosarinho;Recife;PE;2008;1918,49;200,45;0,01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;241165,25;53996;-8.034973;-34.897451;2025;2025
rua doutor jose maria;792;apto 1104 edf parque da jaqueira home service;302733,34;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-28;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2025;2025
rua regueira costa;287;apto 2002 edf saint guilherme;960000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;740000,00;57029;-8.032697;-34.898533;2025;2025
rua regueira costa;287;apto 2401 edf saint guilherme;723406,43;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-24;Bom;Apartamento;443000,00;57029;-8.032697;-34.898533;2025;2025
rua regueira costa;265;apto 1901 edf. quinta das orquídeas;356000,00;Rosarinho;Recife;PE;2021;1639,99;74,7;0,01006;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-21;Bom;Apartamento;224000,00;57029;-8.032985;-34.898666;2025;2025
rua engenheiro sampaio;255;apto 0903 edf débora;376193,89;Rosarinho;Recife;PE;2003;1022,4;101,43;0,01716;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-29;Bom;Apartamento;245000,00;53627;-8.033781;-34.899086;2025;2025
rua caio pereira;75;apto 601 edf abelardo carneiro leão;800000,00;Rosarinho;Recife;PE;2017;1030,98;181,32;0,03231;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-04;Bom;Apartamento;0,00;13269;;;2025;2025
